index,count,tx_0,action_types
20,123,0xf4f2aa27a969e6eb0154bd07c15407407b0013d807407f01078e0180663a90fa,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'WETH_deposit:eth_in', 'WETH_deposit:weth_out', 'UniswapSwap:token_in', 'miner_take_profit', 'beneficiary_take_profit']"
19,76,0x0806a484daf46bf1948185fac7f13613268da0969d638bc87dc934eefeab6b13,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'WETH_deposit:eth_in', 'WETH_deposit:weth_out', 'UniswapSwap:token_in']"
29,50,0xd95f3a7e1f56de24919cc941f23e8c1926b11e781dd87fae07b1cbfd213979da,"['UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_in', 'miner_take_profit', 'beneficiary_take_profit']"
28,33,0xb1e182dfae0a0c81d609385da915ae2e5b94eaebf4061b0291277dce3287d65a,"['UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_in']"
46,18,0x603c256ed602cccc496a63543422103b9ab03a9e24a36c99125cd62d508d913a,"['', 'UniswapSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_out', 'UniswapSwap:token_in']"
24,16,0x60488408fcd5980f0d62cfee11e886640f54e501d173902be1fd4c549cbf0d07,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'UniswapSwap:token_out', 'UniswapSwap:token_in']"
45,12,0x5a15a881f95c35eccce372a94b3888284a44599c750e6ace7f0ec903b2558b32,"['', 'UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'frxETH_mint:eth_in', 'frxETH_mint:frxETH_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_in']"
1,11,0x9279823d64a3f2ea445affef949738b2d8d86bf65282d842ca9278e18612b768,"['BalancerVault:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_out', 'BalancerVault:token_in', 'UniswapSwap:token_in']"
3,11,0x8f7cfe3c8bca8cc4ae6b5ea59303fc9fb4060ae19475c2ef337d1e995cbf9165,"['BalancerVault:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'frxETH_mint:eth_in', 'frxETH_mint:frxETH_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_out', 'BalancerVault:token_in', 'UniswapSwap:token_in']"
25,11,0x93fbe8e5d5de301904d56fdb1de45eb2d40edc1cbb996d8f538ddca1c45e8269,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'UniswapSwap:token_out', 'UniswapSwap:token_in', 'UniswapSwap:token_in']"
