index,count,tx_0,action_types,swap_pools,token_path,action_groups,flash_pair
33,16,0x64fa3320fdb43f3c747c6e2f6b263fc9f5d6aef1aba6de30eeb7b410bfcf9446,"LLAMMA:token_in
LLAMMA:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in","LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD

","crvusd
weth
eth
weth","LLAMMA:1
LLAMMA:1
WETH_withdraw:1
WETH_withdraw:1","


","LLAMMA:token_in
LLAMMA:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
crvusd
weth
eth
weth"
54,11,0x541dd2ab009a68eec68b82c4c916d21844c45bd9f9653ea7a5803d1bd35ff57e,"WETH_deposit:eth_in
WETH_deposit:weth_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out","

LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT","eth
weth
weth
crvusd
crvusd
usdt","WETH_deposit:1
WETH_deposit:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1","




","WETH_deposit:eth_in
WETH_deposit:weth_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
eth
weth
weth
crvusd
crvusd
usdt"
5,10,0x2d01aff5bf819c798a98190b044e98037dc036dcbd02c63614258d02d2b0fb41,"CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out","CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD","usdt
crvusd
crvusd
weth","CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1","


","CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
usdt
crvusd
crvusd
weth"
13,10,0x06725b8766531cc0604ddfaa9bd801b5176085361d28014f59ab26cc77b99d6d,"CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in","CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD

","usdt
crvusd
crvusd
weth
eth
weth","CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
WETH_withdraw:1
WETH_withdraw:1","




","CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
usdt
crvusd
crvusd
weth
eth
weth"
11,9,0x2ffa5553a6bd41704cc0d3a3997e3ee5a15f985c0d4452fc85a9d5b9ebac31ab,"CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in","CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD

","usdc
crvusd
crvusd
weth
eth
weth","CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
WETH_withdraw:1
WETH_withdraw:1","




","CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
usdc
crvusd
crvusd
weth
eth
weth"
52,7,0x2fcd0b9ae87994377f806f221985a636d5dc04434c06933187b7da2d16cc1eed,"WETH_deposit:eth_in
WETH_deposit:weth_out
LLAMMA:token_in
LLAMMA:token_out","

LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD","eth
weth
weth
crvusd","WETH_deposit:1
WETH_deposit:1
LLAMMA:1
LLAMMA:1","


","WETH_deposit:eth_in
WETH_deposit:weth_out
LLAMMA:token_in
LLAMMA:token_out
eth
weth
weth
crvusd"
19,6,0x23f80970a4dde5d31d07c4cacc288ea514ccbc630f81259cdbf86a36939060da,"LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out","LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD
CurveStableSwap-crvUSD-FRAX
CurveStableSwap-crvUSD-FRAX","weth
crvusd
crvusd
frax","LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1","


","LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
weth
crvusd
crvusd
frax"
21,5,0x14da7e46bb40a5280ab761e9e656b6441c0e66ead15a991e7fddf1224ef14517,"LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out","LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT","weth
crvusd
crvusd
usdt","LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1","


","LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
weth
crvusd
crvusd
usdt"
18,4,0x208e41711adcc42e8b6d2af82dcfa9cf519b0311388b69e1e6268cd78f328794,"LLAMMA:token_in
LLAMMA:token_out","LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD","weth
crvusd","LLAMMA:1
LLAMMA:1","
","LLAMMA:token_in
LLAMMA:token_out
weth
crvusd"
34,4,0x6c8cf1233596211d3642ed7638eda010fb8163d40d5221d6754b20973d25530a,"MaverickSwap:token_out
MaverickSwap:token_in
LLAMMA:token_in
LLAMMA:token_out","MaverickPool-WETH-USDC:fee_400
MaverickPool-WETH-USDC:fee_400
LLAMMA-WETH-crvUSD
LLAMMA-WETH-crvUSD","weth
usdc
weth
crvusd","MaverickSwap:1
MaverickSwap:1
LLAMMA:1
LLAMMA:1","


","MaverickSwap:token_out
MaverickSwap:token_in
LLAMMA:token_in
LLAMMA:token_out
weth
usdc
weth
crvusd"
