index,count,tx_0,action_types,swap_pools,token_path,action_groups,flash_pair
63,364,0x0806a484daf46bf1948185fac7f13613268da0969d638bc87dc934eefeab6b13,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


UniswapV3Pool-WETH-USDC:fee_500","usdc
usdc
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0","UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in
usdc
usdc
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth"
86,252,0xb1e182dfae0a0c81d609385da915ae2e5b94eaebf4061b0291277dce3287d65a,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
usdc","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
CurveSwap:2
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0","UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
usdc"
64,89,0x9332769f94c51f9be3dc185e54b9abe10119efcb1fe7dcbfb2177739ff9bc29c,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


UniswapV3Pool-WETH-USDT:fee_500","usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0










0","UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in
usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth"
91,60,0x2fe7dd51c22f3c4780c4b42e38824f83b9a2116286f53c73b0fd72b900626a77,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0









0","UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
UniswapSwap:token_in
weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc"
12,42,0x9279823d64a3f2ea445affef949738b2d8d86bf65282d842ca9278e18612b768,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
BalancerVault
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
CurveSwap:2
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0










1
0
1","BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in
weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
weth
weth
usdt"
72,34,0x60488408fcd5980f0d62cfee11e886640f54e501d173902be1fd4c549cbf0d07,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD


UniswapV3Pool-WETH-frxETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-frxETH:fee_500","usdc
usdc
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
weth
frxeth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0
UniswapSwap:3","0






0
","UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
UniswapSwap:token_in
UniswapSwap:token_in
usdc
usdc
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
weth
frxeth"
101,30,0xe4407dd7227f9cb91b5db9f5243641bb30e49c71fad61da973914165b69ff4a9,"UniswapSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-frxETH:fee_500


LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-frxETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500","frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
weth
usdc","flash_borrow:UniswapV3Pool-WETH-frxETH:fee_500:0
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-frxETH:fee_500:0
UniswapSwap:3","0






0
","UniswapSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
weth
usdc"
93,19,0x5a15a881f95c35eccce372a94b3888284a44599c750e6ace7f0ec903b2558b32,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
frxETH_mint:eth_in
frxETH_mint:frxETH_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500






LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
usdt","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
frxETH_mint:1
frxETH_mint:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0










0","UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
frxETH_mint:eth_in
frxETH_mint:frxETH_out
frxETH_stake:frxETH_in
frxETH_stake:sfrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
usdt"
44,15,0x3069dbb152b5b7a89a7e3660207ee6ad1c7d0f232f6bf6c9576dbce6b6d83f12,"PancakeSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
PancakeSwap:token_in","PancakeV3Pool-WETH-USDT
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


PancakeV3Pool-WETH-USDT","usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth","flash_borrow:PancakeV3Pool-WETH-USDT:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:PancakeV3Pool-WETH-USDT:0","0










0","PancakeSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sfrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
PancakeSwap:token_in
usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth"
39,11,0x365de4997cc6f0451ac487dfa05cf903f6ff356f10e5293b58e7e1469b3130c0,"LLAMMA:token_in
LLAMMA:token_out","LLAMMA-sfrxETH-crvUSD
LLAMMA-sfrxETH-crvUSD","sfrxeth
crvusd","LLAMMA:1
LLAMMA:1","
","LLAMMA:token_in
LLAMMA:token_out
sfrxeth
crvusd"
